video_id,local_path,attack_raw,protocol_name,protocol_lists,protocol_max_repeats,candidate_subject_id,mapping_source,mapping_source_commit,mapping_rule,confidence_class,notes
Live/Live_1.mov,Live/Live_1.mov,,Live_1,test_A_pretrain;trainlist_live,1,,none,8667dbcd316b38141729c057adf7517fe0602608,no official source maps a video to a person identity,NO_EVIDENCE,"protocol name = video stem (preprocessing.py L31, config_siwm.py L162-176); not a person id"
Live/Live_10.mov,Live/Live_10.mov,,Live_10,test_A_pretrain;testlist_live,1,,none,8667dbcd316b38141729c057adf7517fe0602608,no official source maps a video to a person identity,NO_EVIDENCE,"protocol name = video stem (preprocessing.py L31, config_siwm.py L162-176); not a person id"
Live/Live_100.mov,Live/Live_100.mov,,Live_100,train_A_pretrain;trainlist_live,1,,none,8667dbcd316b38141729c057adf7517fe0602608,no official source maps a video to a person identity,NO_EVIDENCE,"protocol name = video stem (preprocessing.py L31, config_siwm.py L162-176); not a person id"
Live/Live_101.mov,Live/Live_101.mov,,Live_101,trainlist_live,1,,none,8667dbcd316b38141729c057adf7517fe0602608,no official source maps a video to a person identity,NO_EVIDENCE,"protocol name = video stem (preprocessing.py L31, config_siwm.py L162-176); not a person id"
Live/Live_102.mov,Live/Live_102.mov,,Live_102,testlist_live;train_A_pretrain,1,,none,8667dbcd316b38141729c057adf7517fe0602608,no official source maps a video to a person identity,NO_EVIDENCE,"protocol name = video stem (preprocessing.py L31, config_siwm.py L162-176); not a person id"
Live/Live_103.mov,Live/Live_103.mov,,Live_103,trainlist_live,1,,none,8667dbcd316b38141729c057adf7517fe0602608,no official source maps a video to a person identity,NO_EVIDENCE,"protocol name = video stem (preprocessing.py L31, config_siwm.py L162-176); not a person id"
Live/Live_105.avi,Live/Live_105.avi,,Live_105,train_A_pretrain;trainlist_live,1,,none,8667dbcd316b38141729c057adf7517fe0602608,no official source maps a video to a person identity,NO_EVIDENCE,"protocol name = video stem (preprocessing.py L31, config_siwm.py L162-176); not a person id"
Live/Live_106.avi,Live/Live_106.avi,,Live_106,testlist_live;train_B_spoof;train_D_age;train_E_ill,1,,none,8667dbcd316b38141729c057adf7517fe0602608,no official source maps a video to a person identity,NO_EVIDENCE,"protocol name = video stem (preprocessing.py L31, config_siwm.py L162-176); not a person id"
Live/Live_107.avi,Live/Live_107.avi,,Live_107,train_B_spoof;train_C_race;train_D_age;train_E_ill;trainlist_live,1,,none,8667dbcd316b38141729c057adf7517fe0602608,no official source maps a video to a person identity,NO_EVIDENCE,"protocol name = video stem (preprocessing.py L31, config_siwm.py L162-176); not a person id"
Live/Live_108.avi,Live/Live_108.avi,,Live_108,train_A_pretrain;trainlist_live,1,,none,8667dbcd316b38141729c057adf7517fe0602608,no official source maps a video to a person identity,NO_EVIDENCE,"protocol name = video stem (preprocessing.py L31, config_siwm.py L162-176); not a person id"
Live/Live_109.avi,Live/Live_109.avi,,Live_109,test_A_pretrain;testlist_live,1,,none,8667dbcd316b38141729c057adf7517fe0602608,no official source maps a video to a person identity,NO_EVIDENCE,"protocol name = video stem (preprocessing.py L31, config_siwm.py L162-176); not a person id"
Live/Live_11.mov,Live/Live_11.mov,,Live_11,train_D_age;train_E_ill;trainlist_live,1,,none,8667dbcd316b38141729c057adf7517fe0602608,no official source maps a video to a person identity,NO_EVIDENCE,"protocol name = video stem (preprocessing.py L31, config_siwm.py L162-176); not a person id"
Live/Live_110.avi,Live/Live_110.avi,,Live_110,train_A_pretrain;trainlist_live,1,,none,8667dbcd316b38141729c057adf7517fe0602608,no official source maps a video to a person identity,NO_EVIDENCE,"protocol name = video stem (preprocessing.py L31, config_siwm.py L162-176); not a person id"
Live/Live_111.avi,Live/Live_111.avi,,Live_111,testlist_live;train_A_pretrain,1,,none,8667dbcd316b38141729c057adf7517fe0602608,no official source maps a video to a person identity,NO_EVIDENCE,"protocol name = video stem (preprocessing.py L31, config_siwm.py L162-176); not a person id"
Live/Live_112.avi,Live/Live_112.avi,,Live_112,train_A_pretrain;trainlist_live,1,,none,8667dbcd316b38141729c057adf7517fe0602608,no official source maps a video to a person identity,NO_EVIDENCE,"protocol name = video stem (preprocessing.py L31, config_siwm.py L162-176); not a person id"
