split,dataset,pair_id,source_spoof_id,eligible_count,eligible_ids_sha256,selected_count,selected_ids_sha256,winner_target_id,winner_in_selected,winner_d_pair
TRAIN,casia_fasd,PTR000931,5d10fca2959ccb07e8a8c04fe1f874c234332a30c09aa724f33cb8e9c4986ce5,816,a5f1018c30e7a8bcf12cc6c477d790a92fcd3e738b40ac29d496491b83656537,64,c530644cd4b057267af5f948b5eeadac2d9db4f4cdc81950f78f699020787f92,7b1bdc195cc010e2d14366483eb8e8224d77856f58b0728ec4715c1a31d7b226,True,0.1071866835660431
TRAIN,casia_fasd,PTR001897,bd271d70dc0bfa46e2fe6971e70bb86ae7aad7710a790142bfe479832cd6123f,816,bfe06f2ba75d72ba60c640167924fdd4e64a90c683eebd089c5c4db53e98fc16,64,121a89a06088e9989e0091c62ae30a0b2d62597c150fcaf44c9a575949f647ef,16efc761d39275eabbb4c1bc03eefe9930fa4cdad4be6bd33f0afe70a15357b1,True,0.16422017102138195
TRAIN,casia_fasd,PTR001547,9c3e82cd83b385f860a6b544ab8f00f80e7c7d37de88593598f633c08f37b3b6,816,9c3132d32a7b792189b1185b68b91c8c2309f7ff33a3a1b31743ed52c0e7f09c,64,23535325c04790e105e0a2f95befcbc778967ab125d7e87f4c3aca62c5af635c,22cce5e53011e5a44a21989197ac4c021bd945c2d10e8fb16fea6674484c568c,True,0.2913028741330066
TRAIN,casia_fasd,PTR001799,b4728be53618443711c003c204c6ab428502b67dd40ff9156a49211e4c2d12c0,816,bfe06f2ba75d72ba60c640167924fdd4e64a90c683eebd089c5c4db53e98fc16,64,a38cc67fdc34cebc5380756f7b3b2883a07a9279f6ce11711fbb3a04e15f7458,47a9ffe342e3aeaf160158cc96755ef9c51ebf24164375ddbd4b585490a55f1d,True,0.30982478794329865
TRAIN,casia_fasd,PTR002319,eaf814398045b5648443bee0b43923562a0c4f511eeba5e6ad411a67fb2d3712,816,77cd44b14b8d0f8f514abb320bcff2cb2866051bee6ae1fa7bb6a99b19405c58,64,c86ef521f9b9cc73aa4f9f582f04168b330c1114a238a4b1212e41ff3067b793,f379e9b6790a18612a9a834d653dc5ce526352f3826d3836e121c5dfd4ba65ac,True,0.7272392760001601
TRAIN,casia_fasd,PTR001451,92615cc7b2d250f0f81e2cccae2f8c9482d1cdee2ea6b378b16a8b592252fda9,816,6cccd1017322d1d1a26d651851c3b9d297e3d2dfca6f72bd158bb1ab69fc5d17,64,ddebfab41335ad8308865ad59fa954898cc47962a9db31eaf8411ff5e3f505e4,919735995a0c2ac1ab96d3fc63fdab80b91bef067042b255f504f3684d47934a,True,0.11894721831421631
TRAIN,casia_fasd,PTR002408,f3ecb57e9ff8d518a0eeb56b6d9ea22dc56f6552e81707a4f9089237b12ec667,816,9f69292ef2cf43e682e95522b6edfd704347f785a87b862611bfb2b965e3e9d9,64,b7bf3ada392837997a7b80a7edc79ff883c6b3dbfd17a8cc80588b2f548a2838,37bc9e5eeb33923fb2e6504720f924f56b8dc848f11a1331bfb9491ca2909e22,True,0.4548388123599141
TRAIN,casia_fasd,PTR000645,3f2438c2a805a4e1797eaf784daeb1dd4126d9bcb9b485db39fbb4e0c6f4608b,816,f50f7822c493dfc85c1bded4843a08123c0c156b911c3214d98642c34dfc4deb,64,e69255771ff47b93ed7547a04a1a094c77b28b0d92005a52fae325774a69857e,8da487e241177365d488b7d2d4c79313307844e0a9c3bd54db4b842efcba6898,True,0.1384743540901619
TRAIN,casia_fasd,PTR001759,b10c17a702c66662f1c551052046ccbbe50afe162132735a056d2c42d34c4998,816,45094a071a13d3fac82d0214178134ae309e353525eea259ea6259118fee4ef3,64,4db4904a3cc826139c6e445f32844fcee6a8f9f0e278dc6ac16edf0c2521db2c,37bc9e5eeb33923fb2e6504720f924f56b8dc848f11a1331bfb9491ca2909e22,True,0.3246429788448142
TRAIN,casia_fasd,PTR000913,5b2c0bced5fe7ed4dd2392c7871d4d34d5cf3f341b45e58c947edfe7dbf520dc,816,32958b8e259b7a0ccefe44e1348178f34e606612500692f204ea0087c1714153,64,3c2c0ca72f7f2402200bf43a34480dafd3793f2f090d38292f4634215366dc0f,31f28de9117ea9eff84a11e056b5d3b5a614ff8d8d037f3b11bcef1dfebe5a34,True,0.2252686332080477
