sample_id,dataset,video_id,frame_index,failure_reason,video_split,in_split_manifest
4b13ad2c2b069b6d252a11c2815b4ea9a5951c4b9c537a186523103ef26f03e7,siwmv2,Live/Live_463.avi,159,SCRFD_NO_FACE,TEST,False
186f4235ed12ccddb45db4b04b467824a38f2defbb7108db8bd4a64d7789addb,siwmv2,Live/Live_639.mov,13,SCRFD_NO_FACE,TRAIN,False
30ea86327c6dcedc225e24e236fde1b54a90020c3b5e53f223da7d7053791c86,siwmv2,Live/Live_85.mov,106,SCRFD_NO_FACE,TRAIN,False
95c63641b459beaec45beeb56036b013c5075190f83ab9a121235344b38bd0e1,siwmv2,Live/Live_85.mov,133,SCRFD_NO_FACE,TRAIN,False
49f036a94d0deaa95dc61e4015a668cda111e81380ebfedb874890d05cf5210b,siwmv2,Spoof/Makeup_Impersonation/Makeup_Im_2.mov,131,SCRFD_NO_FACE,TRAIN,False
fefcfaa24ed3a8f3a6146254fa2031b5a0228bd605f34c14768967630fdec6fd,siwmv2,Spoof/Makeup_Impersonation/Makeup_Im_60.mov,50,SCRFD_NO_FACE,VAL,False
9c203d3a7c65997a6e988b76e294d169e1f8b1555e4d199c6c214b859abd75b0,siwmv2,Spoof/Paper/Paper_100.mov,39,SCRFD_NO_FACE,VAL,False
5aad422ada22eeb5c8d5edc356f777e2dcaabdd312608112fbc75f1b6d3ef4b6,siwmv2,Spoof/Paper/Paper_38.mov,3,SCRFD_NO_FACE,TEST,False
dcb79069c2a0024373b2b97edd16772665ebf1bd2d0463c9d661f652416aa0ad,siwmv2,Spoof/Paper/Paper_91.mov,28,SCRFD_NO_FACE,TRAIN,False
9844ede2cb4e6a1f1bf17e95aa3f058ffab3a3a1e2924a7f9bd3ca7d79231fdb,siwmv2,Spoof/Paper/Paper_96.mov,59,SCRFD_NO_FACE,TRAIN,False
ed0754be836fe812b3e8c6186d4918e12f870ce1f7f7f122352d16685a59b95d,siwmv2,Spoof/Paper/Paper_99.mov,96,SCRFD_NO_FACE,TEST,False
203a7bf4e05e8055f277498b39390b64e0decd70786a0b568b78ef98a3cefffb,siwmv2,Spoof/Partial_FunnyeyeGlasses/Partial_Funnyeye_48.mov,100,SCRFD_NO_FACE,TRAIN,False
d5dd6863ae3753a55bf180c1bcc031cd2dfe662cb75376523ab1732579fe13a4,siwmv2,Spoof/Partial_FunnyeyeGlasses/Partial_Funnyeye_57.mov,83,SCRFD_NO_FACE,VAL,False
555bf0a7858eb03a54278a6e4bd75afc8beca92d2b508bfa10c7924e19b31e73,siwmv2,Spoof/Partial_FunnyeyeGlasses/Partial_Funnyeye_57.mov,100,SCRFD_NO_FACE,VAL,False
05267943f4727d11f84992055ac16889b6c4f44d7308735d560bd863c4868ef3,siwmv2,Spoof/Replay/Replay_76.mov,15,SCRFD_NO_FACE,VAL,False
f87120832d0eba6e206b154a24b73bb7161382b5a74bf6d6aa790d9c803e0220,siwmv2,Spoof/Replay/Replay_81.mov,15,SCRFD_NO_FACE,TRAIN,False
acaae0ac2835c7e78709f9fb376bf5d8104228b5a6a3ecff8f021c8721dff2aa,siwmv2,Spoof/Replay/Replay_82.mov,15,SCRFD_NO_FACE,TRAIN,False
f6d9be0e78ea6a452b1e9912d1e8755b426d2d2aaed12dde8d56951b2daeefc1,siwmv2,Spoof/Replay/Replay_83.mov,15,SCRFD_NO_FACE,VAL,False
53b8034fa5dcec1e38312b42ef1ccbca6926fc1292f447bc70b51bfc23c367b3,siwmv2,Spoof/Replay/Replay_89.mov,15,SCRFD_NO_FACE,VAL,False
cb117c00195e9c6a0aa4f6462240140bafc18959b037c03ac56b7820e5375261,siwmv2,Spoof/Replay/Replay_90.mov,15,SCRFD_NO_FACE,TRAIN,False
7dad1550dd792e6ca517e1e3cf34dbe08372ea33b2591ea9aa36e43fdcfa505b,siwmv2,Spoof/Replay/Replay_91.mov,15,SCRFD_NO_FACE,TEST,False
8d699d7035cbd054d02ff29ca260792a2ca61bcc9a816baa27d17be3063f5eb2,siwmv2,Spoof/Replay/Replay_92.mov,15,SCRFD_NO_FACE,TRAIN,False
784b884e4e69a3645e3afb7fcb10249251c7b12fa625b36eb9cee1bd8ff36ba1,siwmv2,Spoof/Replay/Replay_97.mov,15,SCRFD_NO_FACE,TEST,False
83112752adefa9fa0b9d9cfe986cf23848b167ee9f1eccf8795364c125e8cc85,siwmv2,Spoof/Replay/Replay_98.mov,15,SCRFD_NO_FACE,TRAIN,False
7b90304ee11773dfc9ad277b77e413217d0af56833fab55c1a32d515b14be999,siwmv2,Spoof/Replay/Replay_99.mov,15,SCRFD_NO_FACE,TRAIN,False
