sample_id,dataset,video_id,frame_index,label_binary,attack_raw,attack_macro,source_path,source_file_sha256,content_group_id,selection_rule
1afed8e230de81fd5ce85a8edc286205b4a4fce3c0f52e18b5bffd4fb9d155cc,casia_fasd,test/spoof/s20vHR_3,52,1,HR_3,print,test/spoof/s20vHR_3f52.png,7e2b73aae8c823858323eecd146076019a6892d6005169d5cfe721679253f88a,,sort by sha256('gpatbench.m2a_smoke.v1|'+sample_id); per dataset 4 live + 4 spoof; distinct video_id; spoof prefers unseen attack_raw first
561349e284bc285abd4051ea4cbdd9aea4a105a95d6ec147aa7c2d7c4516ad5f,casia_fasd,train/spoof/s14v8,58,1,8,replay,train/spoof/s14v8f58.png,dbb1bc50d0dc93ef65f754f16b3aadeb95c7b3d418cc949205bd73f4d0b0f4f5,,sort by sha256('gpatbench.m2a_smoke.v1|'+sample_id); per dataset 4 live + 4 spoof; distinct video_id; spoof prefers unseen attack_raw first
aade9e2d28d824d625b3b64deb29b95706d6ec00943ed8d3179ef977d73bf507,casia_fasd,test/spoof/s17v5,15,1,5,print,test/spoof/s17v5f15.png,856cab8b0196e57c464c9f0e3e05ccc0235c66bc2a639626e811a4b6aa6184f5,,sort by sha256('gpatbench.m2a_smoke.v1|'+sample_id); per dataset 4 live + 4 spoof; distinct video_id; spoof prefers unseen attack_raw first
b0bf34e36d907f90ebe4913bc7a0901ccea364990911fba554f8ed25806418ee,casia_fasd,test/spoof/s7v3,39,1,3,print,test/spoof/s7v3f39.png,daac83ee6f761e272ad1d8dfffb41e95cc8c603f0d8ccd78e225288f0f797a92,,sort by sha256('gpatbench.m2a_smoke.v1|'+sample_id); per dataset 4 live + 4 spoof; distinct video_id; spoof prefers unseen attack_raw first
bd38e3bc800075da766b24944333ad77902590860ded1a419329fdc57a2ee510,casia_fasd,test/spoof/s18vHR_1,86,0,,live,test/spoof/s18vHR_1f86.png,27fd014ce1c4607068728e4a4ab6e8ed27df405b5e977a0a2fe7181d6d6416c6,,sort by sha256('gpatbench.m2a_smoke.v1|'+sample_id); per dataset 4 live + 4 spoof; distinct video_id; spoof prefers unseen attack_raw first
d16bdd7eed5da7a31706a4fdbfd32b9ec4ea5afc1821ea2fe7b25c52c1251ae7,casia_fasd,train/live/s19v2,89,0,,live,train/live/s19v2f89.png,da4e3745c3e1671e8c69ddb2e96a9c8133aeb421adc6365fc29beeb21c220bf6,,sort by sha256('gpatbench.m2a_smoke.v1|'+sample_id); per dataset 4 live + 4 spoof; distinct video_id; spoof prefers unseen attack_raw first
f747a0e0b937e6b14fc1f9a14619fc47da50562c8e8e9018640dfa375acfc4c2,casia_fasd,test/live/s14v2,178,0,,live,test/live/s14v2f178.png,18de65fbdb0057d2c682f2cbada840cdb0e724151bfd1fdf59de0f6a9a0c99d0,,sort by sha256('gpatbench.m2a_smoke.v1|'+sample_id); per dataset 4 live + 4 spoof; distinct video_id; spoof prefers unseen attack_raw first
fdab1dc9badb3be8729da7fbf7c4a910d7b934e605d6aa7ddd33222c0b3cd8c4,casia_fasd,test/live/s20v1,115,0,,live,test/live/s20v1f115.png,3fb70e837d82ccc0023c7ec0ebe876ea57d58723d787d644ad872d17b8123630,,sort by sha256('gpatbench.m2a_smoke.v1|'+sample_id); per dataset 4 live + 4 spoof; distinct video_id; spoof prefers unseen attack_raw first
24244e9c7ad7fba7ef2349f525b1ebef388a1d9a4424b9969b3751b9a75ab9c5,msu_mfsd,scene01/attack/attack_client054_laptop_SD_printed_photo_scene01,50,1,printed_photo,print,scene01/attack/attack_client054_laptop_SD_printed_photo_scene01.mov,3fe1670ab6c254b25308e6282cf44f454343822f26988ac6ba65f60ee46a3a1b,,sort by sha256('gpatbench.m2a_smoke.v1|'+sample_id); per dataset 4 live + 4 spoof; distinct video_id; spoof prefers unseen attack_raw first
2bc9f7dd35aabe23f2eedeb75aaadadef19cafc937a37f5ed021a6ed337f546f,msu_mfsd,scene01/real/real_client032_laptop_SD_scene01,50,0,,live,scene01/real/real_client032_laptop_SD_scene01.mov,9983fbf0a5bc2fd2489815121f77d9999e874b818b50019272fb408a029543cd,,sort by sha256('gpatbench.m2a_smoke.v1|'+sample_id); per dataset 4 live + 4 spoof; distinct video_id; spoof prefers unseen attack_raw first
5d554885272d57eba8c5954a9bc754796aebceff2af1069c4221e20a31e88adc,msu_mfsd,scene01/attack/attack_client050_android_SD_printed_photo_scene01,196,1,printed_photo,print,scene01/attack/attack_client050_android_SD_printed_photo_scene01.mp4,5430e81a9d34f4ef0cd18a937ae83fe99fd1e06feafd916a9600b5d7af539bd7,,sort by sha256('gpatbench.m2a_smoke.v1|'+sample_id); per dataset 4 live + 4 spoof; distinct video_id; spoof prefers unseen attack_raw first
