protocol_file,referenced_name,local_present,attack_type,references_in_file,classification,notes
source_SiW_Mv2/pro_3_text/trainlist_all.txt,Makeup_Co_11,YES,Makeup_Cosmetic,4,DUPLICATE_PROTOCOL_REFERENCE,repeated for live/spoof balancing (official README)
source_SiW_Mv2/pro_3_text/trainlist_all.txt,Makeup_Co_12,YES,Makeup_Cosmetic,4,DUPLICATE_PROTOCOL_REFERENCE,repeated for live/spoof balancing (official README)
source_SiW_Mv2/pro_3_text/trainlist_all.txt,Makeup_Co_14,YES,Makeup_Cosmetic,4,DUPLICATE_PROTOCOL_REFERENCE,repeated for live/spoof balancing (official README)
source_SiW_Mv2/pro_3_text/trainlist_all.txt,Makeup_Co_15,YES,Makeup_Cosmetic,4,DUPLICATE_PROTOCOL_REFERENCE,repeated for live/spoof balancing (official README)
source_SiW_Mv2/pro_3_text/trainlist_all.txt,Makeup_Co_18,YES,Makeup_Cosmetic,4,DUPLICATE_PROTOCOL_REFERENCE,repeated for live/spoof balancing (official README)
source_SiW_Mv2/pro_3_text/trainlist_all.txt,Makeup_Co_21,YES,Makeup_Cosmetic,4,DUPLICATE_PROTOCOL_REFERENCE,repeated for live/spoof balancing (official README)
source_SiW_Mv2/pro_3_text/trainlist_all.txt,Makeup_Co_22,YES,Makeup_Cosmetic,4,DUPLICATE_PROTOCOL_REFERENCE,repeated for live/spoof balancing (official README)
source_SiW_Mv2/pro_3_text/trainlist_all.txt,Makeup_Co_23,YES,Makeup_Cosmetic,4,DUPLICATE_PROTOCOL_REFERENCE,repeated for live/spoof balancing (official README)
source_SiW_Mv2/pro_3_text/trainlist_all.txt,Makeup_Co_25,YES,Makeup_Cosmetic,4,DUPLICATE_PROTOCOL_REFERENCE,repeated for live/spoof balancing (official README)
source_SiW_Mv2/pro_3_text/trainlist_all.txt,Makeup_Co_30,YES,Makeup_Cosmetic,4,DUPLICATE_PROTOCOL_REFERENCE,repeated for live/spoof balancing (official README)
source_SiW_Mv2/pro_3_text/trainlist_all.txt,Makeup_Co_31,YES,Makeup_Cosmetic,4,DUPLICATE_PROTOCOL_REFERENCE,repeated for live/spoof balancing (official README)
source_SiW_Mv2/pro_3_text/trainlist_all.txt,Makeup_Co_33,YES,Makeup_Cosmetic,4,DUPLICATE_PROTOCOL_REFERENCE,repeated for live/spoof balancing (official README)
source_SiW_Mv2/pro_3_text/trainlist_all.txt,Makeup_Co_34,YES,Makeup_Cosmetic,4,DUPLICATE_PROTOCOL_REFERENCE,repeated for live/spoof balancing (official README)
source_SiW_Mv2/pro_3_text/trainlist_all.txt,Makeup_Co_41,YES,Makeup_Cosmetic,3,DUPLICATE_PROTOCOL_REFERENCE,repeated for live/spoof balancing (official README)
source_SiW_Mv2/pro_3_text/trainlist_all.txt,Makeup_Co_42,YES,Makeup_Cosmetic,3,DUPLICATE_PROTOCOL_REFERENCE,repeated for live/spoof balancing (official README)
source_SiW_Mv2/pro_3_text/trainlist_all.txt,Makeup_Co_43,YES,Makeup_Cosmetic,3,DUPLICATE_PROTOCOL_REFERENCE,repeated for live/spoof balancing (official README)
source_SiW_Mv2/pro_3_text/trainlist_all.txt,Makeup_Co_44,YES,Makeup_Cosmetic,3,DUPLICATE_PROTOCOL_REFERENCE,repeated for live/spoof balancing (official README)
source_SiW_Mv2/pro_3_text/trainlist_all.txt,Makeup_Co_45,YES,Makeup_Cosmetic,3,DUPLICATE_PROTOCOL_REFERENCE,repeated for live/spoof balancing (official README)
source_SiW_Mv2/pro_3_text/trainlist_all.txt,Makeup_Co_48,YES,Makeup_Cosmetic,3,DUPLICATE_PROTOCOL_REFERENCE,repeated for live/spoof balancing (official README)
source_SiW_Mv2/pro_3_text/trainlist_all.txt,Makeup_Co_5,YES,Makeup_Cosmetic,4,DUPLICATE_PROTOCOL_REFERENCE,repeated for live/spoof balancing (official README)
source_SiW_Mv2/pro_3_text/trainlist_all.txt,Makeup_Co_55,YES,Makeup_Cosmetic,3,DUPLICATE_PROTOCOL_REFERENCE,repeated for live/spoof balancing (official README)
source_SiW_Mv2/pro_3_text/trainlist_all.txt,Makeup_Co_56,YES,Makeup_Cosmetic,3,DUPLICATE_PROTOCOL_REFERENCE,repeated for live/spoof balancing (official README)
source_SiW_Mv2/pro_3_text/trainlist_all.txt,Makeup_Co_57,YES,Makeup_Cosmetic,3,DUPLICATE_PROTOCOL_REFERENCE,repeated for live/spoof balancing (official README)
source_SiW_Mv2/pro_3_text/trainlist_all.txt,Makeup_Co_58,YES,Makeup_Cosmetic,3,DUPLICATE_PROTOCOL_REFERENCE,repeated for live/spoof balancing (official README)
source_SiW_Mv2/pro_3_text/trainlist_all.txt,Makeup_Co_59,YES,Makeup_Cosmetic,3,DUPLICATE_PROTOCOL_REFERENCE,repeated for live/spoof balancing (official README)
source_SiW_Mv2/pro_3_text/trainlist_all.txt,Makeup_Co_6,YES,Makeup_Cosmetic,4,DUPLICATE_PROTOCOL_REFERENCE,repeated for live/spoof balancing (official README)
source_SiW_Mv2/pro_3_text/trainlist_all.txt,Makeup_Co_60,YES,Makeup_Cosmetic,3,DUPLICATE_PROTOCOL_REFERENCE,repeated for live/spoof balancing (official README)
