sample_id,level,raw_float32_bytes,npy_bytes,compressed_bytes,ratio,encode_s,decode_s,array_equal,npy_bytes_equal,raw_bytes_equal,deterministic_repeat
09cbbfbccb912650a9f02b7242fd447a10c5bf7048b0ec59685e058557586920,1,2207744,2207872,1684432,1.310752,0.002193,0.005622,True,True,True,True
09cbbfbccb912650a9f02b7242fd447a10c5bf7048b0ec59685e058557586920,3,2207744,2207872,1682919,1.311930,0.002484,0.003646,True,True,True,True
09cbbfbccb912650a9f02b7242fd447a10c5bf7048b0ec59685e058557586920,10,2207744,2207872,1678510,1.315376,0.015026,0.003554,True,True,True,True
09cbbfbccb912650a9f02b7242fd447a10c5bf7048b0ec59685e058557586920,19,2207744,2207872,1666695,1.324701,0.218280,0.002447,True,True,True,True
1afed8e230de81fd5ce85a8edc286205b4a4fce3c0f52e18b5bffd4fb9d155cc,1,2207744,2207872,1697789,1.300440,0.001010,0.002259,True,True,True,True
1afed8e230de81fd5ce85a8edc286205b4a4fce3c0f52e18b5bffd4fb9d155cc,3,2207744,2207872,1697957,1.300311,0.001015,0.002043,True,True,True,True
1afed8e230de81fd5ce85a8edc286205b4a4fce3c0f52e18b5bffd4fb9d155cc,10,2207744,2207872,1690942,1.305705,0.007669,0.002034,True,True,True,True
1afed8e230de81fd5ce85a8edc286205b4a4fce3c0f52e18b5bffd4fb9d155cc,19,2207744,2207872,1676059,1.317300,0.228460,0.002332,True,True,True,True
24244e9c7ad7fba7ef2349f525b1ebef388a1d9a4424b9969b3751b9a75ab9c5,1,2207744,2207872,1687014,1.308746,0.000927,0.002229,True,True,True,True
24244e9c7ad7fba7ef2349f525b1ebef388a1d9a4424b9969b3751b9a75ab9c5,3,2207744,2207872,1678243,1.315585,0.001771,0.002208,True,True,True,True
24244e9c7ad7fba7ef2349f525b1ebef388a1d9a4424b9969b3751b9a75ab9c5,10,2207744,2207872,1680780,1.313600,0.006154,0.002092,True,True,True,True
24244e9c7ad7fba7ef2349f525b1ebef388a1d9a4424b9969b3751b9a75ab9c5,19,2207744,2207872,1663551,1.327204,0.210108,0.002461,True,True,True,True
2bc9f7dd35aabe23f2eedeb75aaadadef19cafc937a37f5ed021a6ed337f546f,1,2207744,2207872,1691384,1.305364,0.001154,0.002293,True,True,True,True
2bc9f7dd35aabe23f2eedeb75aaadadef19cafc937a37f5ed021a6ed337f546f,3,2207744,2207872,1687660,1.308245,0.001335,0.002264,True,True,True,True
2bc9f7dd35aabe23f2eedeb75aaadadef19cafc937a37f5ed021a6ed337f546f,10,2207744,2207872,1684562,1.310650,0.006796,0.002154,True,True,True,True
2bc9f7dd35aabe23f2eedeb75aaadadef19cafc937a37f5ed021a6ed337f546f,19,2207744,2207872,1673589,1.319244,0.246182,0.002377,True,True,True,True
322276f887a2f5f13be74501e07b681aabf1fc287c194c3a3de03d5394201754,1,2207744,2207872,1693059,1.304073,0.000953,0.002087,True,True,True,True
322276f887a2f5f13be74501e07b681aabf1fc287c194c3a3de03d5394201754,3,2207744,2207872,1692299,1.304658,0.001325,0.002027,True,True,True,True
322276f887a2f5f13be74501e07b681aabf1fc287c194c3a3de03d5394201754,10,2207744,2207872,1686233,1.309352,0.006158,0.002021,True,True,True,True
322276f887a2f5f13be74501e07b681aabf1fc287c194c3a3de03d5394201754,19,2207744,2207872,1667138,1.324349,0.234465,0.002397,True,True,True,True
354686a3b2df532c384846c88fb3e9c402717bd666b676736515257fd2d53824,1,2207744,2207872,1674725,1.318349,0.000994,0.002303,True,True,True,True
354686a3b2df532c384846c88fb3e9c402717bd666b676736515257fd2d53824,3,2207744,2207872,1665566,1.325599,0.001185,0.002255,True,True,True,True
354686a3b2df532c384846c88fb3e9c402717bd666b676736515257fd2d53824,10,2207744,2207872,1670406,1.321758,0.005641,0.002227,True,True,True,True
354686a3b2df532c384846c88fb3e9c402717bd666b676736515257fd2d53824,19,2207744,2207872,1658195,1.331491,0.207947,0.002496,True,True,True,True
561349e284bc285abd4051ea4cbdd9aea4a105a95d6ec147aa7c2d7c4516ad5f,1,2207744,2207872,1691234,1.305480,0.001029,0.002192,True,True,True,True
561349e284bc285abd4051ea4cbdd9aea4a105a95d6ec147aa7c2d7c4516ad5f,3,2207744,2207872,1682225,1.312471,0.001612,0.002214,True,True,True,True
561349e284bc285abd4051ea4cbdd9aea4a105a95d6ec147aa7c2d7c4516ad5f,10,2207744,2207872,1684025,1.311068,0.006575,0.002136,True,True,True,True
561349e284bc285abd4051ea4cbdd9aea4a105a95d6ec147aa7c2d7c4516ad5f,19,2207744,2207872,1665789,1.325421,0.218431,0.002459,True,True,True,True
5d554885272d57eba8c5954a9bc754796aebceff2af1069c4221e20a31e88adc,1,2207744,2207872,1689493,1.306825,0.000981,0.002142,True,True,True,True
5d554885272d57eba8c5954a9bc754796aebceff2af1069c4221e20a31e88adc,3,2207744,2207872,1680247,1.314016,0.001261,0.002293,True,True,True,True
5d554885272d57eba8c5954a9bc754796aebceff2af1069c4221e20a31e88adc,10,2207744,2207872,1682177,1.312509,0.006307,0.002185,True,True,True,True
5d554885272d57eba8c5954a9bc754796aebceff2af1069c4221e20a31e88adc,19,2207744,2207872,1663647,1.327128,0.218571,0.002453,True,True,True,True
654f6a64ca4d6d99d73e07dd52028a17dc514a2230e3af06d5eb45797ba6a123,1,2207744,2207872,1678559,1.315338,0.001063,0.002385,True,True,True,True
654f6a64ca4d6d99d73e07dd52028a17dc514a2230e3af06d5eb45797ba6a123,3,2207744,2207872,1666855,1.324574,0.001589,0.002386,True,True,True,True
654f6a64ca4d6d99d73e07dd52028a17dc514a2230e3af06d5eb45797ba6a123,10,2207744,2207872,1672740,1.319913,0.006232,0.002270,True,True,True,True
654f6a64ca4d6d99d73e07dd52028a17dc514a2230e3af06d5eb45797ba6a123,19,2207744,2207872,1655434,1.333712,0.223821,0.002573,True,True,True,True
6a9be8e060bab7f458f31fb693ad62854ee4de3702aacc681539ad0d03d2cd34,1,2207744,2207872,1685210,1.310147,0.001076,0.002251,True,True,True,True
6a9be8e060bab7f458f31fb693ad62854ee4de3702aacc681539ad0d03d2cd34,3,2207744,2207872,1679063,1.314943,0.001301,0.002263,True,True,True,True
6a9be8e060bab7f458f31fb693ad62854ee4de3702aacc681539ad0d03d2cd34,10,2207744,2207872,1678495,1.315388,0.006521,0.002187,True,True,True,True
6a9be8e060bab7f458f31fb693ad62854ee4de3702aacc681539ad0d03d2cd34,19,2207744,2207872,1662845,1.327768,0.238034,0.002557,True,True,True,True
765f88128472b55b13b7691a3f79376467b5880c1e8bfb8181adff760372cf4f,1,2207744,2207872,1692746,1.304314,0.000936,0.002141,True,True,True,True
765f88128472b55b13b7691a3f79376467b5880c1e8bfb8181adff760372cf4f,3,2207744,2207872,1691577,1.305215,0.001421,0.002176,True,True,True,True
765f88128472b55b13b7691a3f79376467b5880c1e8bfb8181adff760372cf4f,10,2207744,2207872,1685868,1.309635,0.006441,0.002116,True,True,True,True
765f88128472b55b13b7691a3f79376467b5880c1e8bfb8181adff760372cf4f,19,2207744,2207872,1672049,1.320459,0.213653,0.002453,True,True,True,True
8783c1c15d7a894490e1e48816828cba2e8e9f8e3c556c10ac0eecbbf63d5fe4,1,2207744,2207872,1681780,1.312819,0.000917,0.002214,True,True,True,True
8783c1c15d7a894490e1e48816828cba2e8e9f8e3c556c10ac0eecbbf63d5fe4,3,2207744,2207872,1675376,1.317837,0.001263,0.002268,True,True,True,True
8783c1c15d7a894490e1e48816828cba2e8e9f8e3c556c10ac0eecbbf63d5fe4,10,2207744,2207872,1676852,1.316677,0.006153,0.002156,True,True,True,True
8783c1c15d7a894490e1e48816828cba2e8e9f8e3c556c10ac0eecbbf63d5fe4,19,2207744,2207872,1662871,1.327747,0.222026,0.002440,True,True,True,True
